stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
1,1949,1,-2.7,0.5,6.6,9,-6.8,-15.2,12,81,68.8,9.6,25,996.7,6,18.1,8.5
1,1949,2,0,2.5,7.8,6,-2.5,-7.5,27,87,80,8.3,16,989,6.7,25.1,9.2
1,1949,3,0.1,2.8,7.4,4,-2.9,-14.3,14,86,58.7,8.4,5,1010.4,5.9,106.6,5.9
1,1949,4,-0,3.1,6.6,2,-2.9,-8.9,21,77,51.8,17.8,18,1000.2,5.8,134.7,7.4
1,1949,5,3.6,7.2,13,22,0.3,-5,5,70,27.9,5.5,12,1014.8,5.1,243.2,6.9
1,1949,6,9.8,13,20.4,22,6.7,1.6,7,76,44.2,13.2,30,1015.3,5.7,187.3,5.9
1,1949,7,10.5,13.2,17.1,28,8.7,6,4,86,66,12.6,6,1013.5,7.2,83.1,4.1
1,1949,8,10.1,13.3,16.5,18,7.3,2,9,80,96,25.1,29,1008.4,6.1,160.8,4.7
1,1949,9,9,11.1,15.7,2,7.2,1.8,9,87,97.9,18.6,29,1009.4,6.9,59.6,5.7
1,1949,10,4.5,7.5,14.2,11,2,-9.3,25,81,35.9,15.7,2,1002.1,4.9,81.3,4.4
1,1949,11,2.5,5,9.4,2,-0.3,-7,13,81,72,15,1,996.2,5.3,40,5.7
1,1949,12,-1.3,0.9,6.3,31,-4.6,-15.3,9,84,54.2,14.2,23,996,5.7,10,6.3
1,1950,1,2.8,5.2,9.6,19,0.4,-4.3,24,84,128.3,13.3,22,996,6.5,10.5,8.6
1,1950,2,-0.7,2.4,6.1,3,-3.4,-13.6,23,80,30.6,4.9,27,992.4,5.6,47.4,6.6
1,1950,3,1.3,4.5,8.3,22,-1.2,-9.2,15,80,59.1,13.7,25,1005.6,5,151,6.5
1,1950,4,2.2,5.3,8.3,7,-0.5,-4.9,27,73,10,3.2,5,1003.3,5.2,172.7,6.3
1,1950,5,7.1,9.8,11.6,30,4.4,-0.3,19,76,61.2,17.5,1,1018.7,5.7,200.7,6.1
1,1950,6,9.3,12.4,18.3,22,6.8,3.8,25,75,42,9.5,4,1008.2,5.4,219.2,5.8
1,1950,7,12.4,15.6,23.2,17,9.5,7.2,22,76,52.3,9.1,3,1006.2,6.6,126.1,4.8
1,1950,8,12.1,15.3,19.6,21,9.6,6.1,27,78,55.6,8.3,8,1002.3,6.2,123,5
1,1950,9,7.2,10.7,13,13,4,-0.2,19,74,37.3,10.9,27,997.4,4.8,153.4,5.6
1,1950,10,4.5,6.9,10.1,13,2.2,-3.4,11,79,91,15.7,30,998.7,5.8,84.4,7.1
